time,open,high,low,close
2025-08-20T13:15:00+05:30,25082.5,25108.1,25057.1,25095
2025-08-20T14:15:00+05:30,25093.1,25105,25080.5,25085.5
2025-08-20T15:15:00+05:30,25085.1,25086.2,25075.2,25075.2
2025-08-21T09:15:00+05:30,25111.1,25170,25086,25152
2025-08-21T10:15:00+05:30,25150,25174.9,25146.1,25151.8
2025-08-21T11:15:00+05:30,25155,25172.9,25133,25142.1
2025-08-21T12:15:00+05:30,25142,25161,25118.2,25148.1
2025-08-21T13:15:00+05:30,25148.1,25157.8,25106.4,25157.8
2025-08-21T14:15:00+05:30,25155.1,25179,25124,25133.5
2025-08-21T15:15:00+05:30,25133.8,25133.8,25111,25112.4
2025-08-22T09:15:00+05:30,25094,25099,24955.4,24975.1
2025-08-22T10:15:00+05:30,24978.9,24980.2,24920,24940.1
2025-08-22T11:15:00+05:30,24935,24968.8,24915.7,24940
2025-08-22T12:15:00+05:30,24937.5,24952.4,24930.1,24939.9
2025-08-22T13:15:00+05:30,24939.9,24975,24933,24935
2025-08-22T14:15:00+05:30,24940.7,24940.7,24887.4,24900
2025-08-22T15:15:00+05:30,24900,24908.9,24890.5,24894
2025-08-25T09:15:00+05:30,24950.1,24992.5,24920,24925.9
2025-08-25T10:15:00+05:30,24926.4,24980,24914.1,24969.9
2025-08-25T11:15:00+05:30,24969.9,25002.8,24963.7,25001
2025-08-25T12:15:00+05:30,25001.2,25025,24996.8,25021.8
2025-08-25T13:15:00+05:30,25020.2,25030,24999.9,25013.6
2025-08-25T14:15:00+05:30,25014,25025,24974.7,24980
2025-08-25T15:15:00+05:30,24983.4,24998.4,24979.1,24992.2
2025-08-26T09:15:00+05:30,24903,24940,24765,24796.7
2025-08-26T10:15:00+05:30,24797.4,24816.9,24770.4,24806.6
2025-08-26T11:15:00+05:30,24806,24839.8,24791.3,24798
2025-08-26T12:15:00+05:30,24798,24815.9,24772.7,24802.1
2025-08-26T13:15:00+05:30,24804,24821.8,24785,24787.4
2025-08-26T14:15:00+05:30,24787.6,24790.9,24710,24719
2025-08-26T15:15:00+05:30,24719.1,24738,24719.1,24728
2025-08-28T09:15:00+05:30,24689.8,24709.6,24516.3,24586
2025-08-28T10:15:00+05:30,24580.3,24693,24557,24662.8
2025-08-28T11:15:00+05:30,24657.3,24688,24619.1,24635
2025-08-28T12:15:00+05:30,24634.9,24645,24537.3,24564
2025-08-28T13:15:00+05:30,24565.1,24588,24532.6,24576.3
2025-08-28T14:15:00+05:30,24576.3,24600.3,24478,24495
2025-08-28T15:15:00+05:30,24495,24505,24491.8,24503
2025-08-29T09:15:00+05:30,24650,24702.1,24606.6,24613.5
2025-08-29T10:15:00+05:30,24617.4,24708.5,24610.3,24697.5
2025-08-29T11:15:00+05:30,24699,24710,24666.1,24689.9
2025-08-29T12:15:00+05:30,24685,24691.9,24636.4,24637.3
